symbol,price,ma200,rsi,volume_ratio,avg_dollar_volume,score,smart_money_score,type,scan_time
RXO,23.85,15.62,59.89,2.14,70701181.0,100,70,수급/세력 가능 후보,2026-05-21 00:19:49
HUN,14.06,10.97,46.74,1.75,74548081.0,100,40,기술 조건 후보,2026-05-21 00:18:58
ROG,133.0,96.71,46.14,1.68,41439754.0,100,40,기술 조건 후보,2026-05-21 00:20:27
LYV,164.44,152.95,60.13,1.5,450795083.0,100,40,기술 조건 후보,2026-05-21 00:20:01
NEOG,8.83,7.73,41.07,1.41,20217952.0,100,40,기술 조건 후보,2026-05-21 00:21:46
JPLD,52.05,51.53,41.65,1.39,24620735.0,100,40,기술 조건 후보,2026-05-21 00:19:06
SA,30.65,27.14,58.18,1.38,27372122.0,100,40,기술 조건 후보,2026-05-21 00:19:21
PUK,31.25,28.98,55.64,1.27,22761106.0,100,40,기술 조건 후보,2026-05-21 00:20:35
MBB,93.76,93.61,42.17,1.24,204785829.0,100,40,기술 조건 후보,2026-05-21 00:21:16
IBB,167.91,161.66,48.56,1.23,246384759.0,100,40,기술 조건 후보,2026-05-21 00:20:42
LPG,47.72,29.54,90.6,2.95,24792125.0,70,50,수급/세력 가능 후보,2026-05-21 00:19:00
HAS,88.6,84.98,35.66,2.86,172916785.0,70,50,수급/세력 가능 후보,2026-05-21 00:20:48
IWB,404.07,370.13,66.4,2.49,287470111.0,70,50,수급/세력 가능 후보,2026-05-21 00:19:40
IWM,279.87,251.12,52.25,1.18,7373603824.0,70,40,기술 조건 후보,2026-05-21 00:20:59
MRVL,186.8,94.65,62.18,1.16,4693640915.0,70,40,기술 조건 후보,2026-05-21 00:19:36
MFG,9.05,7.58,60.18,1.15,29402973.0,70,40,기술 조건 후보,2026-05-21 00:21:22
JNK,96.12,94.59,47.1,1.11,272472203.0,70,40,기술 조건 후보,2026-05-21 00:19:05
NTST,20.54,18.66,49.42,1.11,24981331.0,70,40,기술 조건 후보,2026-05-21 00:20:27
MBX,31.43,26.57,52.42,1.1,23216485.0,70,40,기술 조건 후보,2026-05-21 00:20:07
MPWR,1553.27,1068.03,45.38,1.1,1065854664.0,70,40,기술 조건 후보,2026-05-21 00:21:31
INSW,86.67,56.86,56.81,1.09,53101724.0,70,40,기술 조건 후보,2026-05-21 00:20:14
HUBG,40.75,39.2,40.96,1.08,31074783.0,70,40,기술 조건 후보,2026-05-21 00:19:42
MDGL,513.47,482.74,48.89,1.08,148321013.0,70,40,기술 조건 후보,2026-05-21 00:21:17
IONS,75.06,71.84,51.09,1.06,141367283.0,70,40,기술 조건 후보,2026-05-21 00:20:19
OIH,451.04,323.63,51.96,1.05,178493085.0,70,40,기술 조건 후보,2026-05-21 00:18:59
INDV,37.59,30.65,54.46,1.05,93277948.0,70,40,기술 조건 후보,2026-05-21 00:20:14
LNT,72.5,67.26,44.52,1.04,189258067.0,70,40,기술 조건 후보,2026-05-21 00:19:44
IMO,133.84,103.08,49.76,1.04,67082995.0,70,40,기술 조건 후보,2026-05-21 00:20:25
SEDG,56.22,36.81,64.71,1.03,262725994.0,70,40,기술 조건 후보,2026-05-21 00:19:36
INDB,78.93,73.24,54.72,1.02,26718717.0,70,40,기술 조건 후보,2026-05-21 00:20:12
HAL,42.3,30.24,50.0,1.02,449694001.0,70,40,기술 조건 후보,2026-05-21 00:20:44
INTW,322.87,71.98,62.47,1.0,345504409.0,70,40,기술 조건 후보,2026-05-21 00:19:42
NVTS,22.99,9.85,62.65,1.0,853587125.0,70,40,기술 조건 후보,2026-05-21 00:20:03
KYMR,80.65,69.68,49.17,0.99,41572955.0,70,40,기술 조건 후보,2026-05-21 00:19:10
PWR,709.93,490.72,46.19,0.98,945782154.0,70,40,기술 조건 후보,2026-05-21 00:19:02
JPIE,45.9,45.32,47.82,0.98,50833919.0,70,40,기술 조건 후보,2026-05-21 00:19:30
PVLA,115.5,91.28,40.2,0.98,25938840.0,70,40,기술 조건 후보,2026-05-21 00:19:46
NVS,150.45,136.57,56.51,0.98,208106927.0,70,40,기술 조건 후보,2026-05-21 00:20:25
LPTH,13.65,9.41,54.25,0.97,52915817.0,70,40,기술 조건 후보,2026-05-21 00:21:05
IUSV,109.28,102.14,57.62,0.94,71943930.0,70,40,기술 조건 후보,2026-05-21 00:20:58
JBHT,262.88,189.48,57.94,0.93,251935048.0,70,40,기술 조건 후보,2026-05-21 00:19:04
HBM,24.49,19.21,55.79,0.93,134888361.0,70,40,기술 조건 후보,2026-05-21 00:20:49
NWE,71.54,63.88,46.01,0.92,29340500.0,70,40,기술 조건 후보,2026-05-21 00:20:03
ITA,223.28,217.09,56.4,0.92,209102992.0,70,40,기술 조건 후보,2026-05-21 00:20:09
HELO,67.84,65.63,61.24,0.92,20200417.0,70,40,기술 조건 후보,2026-05-21 00:20:51
MCHP,94.02,69.16,52.31,0.9,1133565816.0,70,40,기술 조건 후보,2026-05-21 00:21:16
MDLZ,61.84,58.15,53.85,0.9,486605072.0,70,40,기술 조건 후보,2026-05-21 00:21:17
MDY,664.43,615.57,50.17,0.9,360080293.0,70,40,기술 조건 후보,2026-05-21 00:21:18
ISTB,48.18,47.91,43.02,0.89,20773841.0,70,40,기술 조건 후보,2026-05-21 00:20:08
HESM,40.05,35.31,59.5,0.89,114858460.0,70,40,기술 조건 후보,2026-05-21 00:20:51
NEM,107.39,98.76,45.1,0.88,799362782.0,70,40,기술 조건 후보,2026-05-21 00:19:01
NUTX,121.54,118.85,51.25,0.88,20570469.0,70,40,기술 조건 후보,2026-05-21 00:20:43
HLIT,12.31,10.1,64.77,0.88,25140295.0,70,40,기술 조건 후보,2026-05-21 00:20:54
LLYVK,98.24,90.84,62.63,0.86,31507149.0,70,40,기술 조건 후보,2026-05-21 00:19:46
HEFA,45.05,41.28,59.1,0.84,24764982.0,70,40,기술 조건 후보,2026-05-21 00:20:49
OKE,92.15,76.16,51.74,0.82,385249632.0,70,40,기술 조건 후보,2026-05-21 00:18:55
MTCH,35.99,33.32,43.22,0.81,139087326.0,70,40,기술 조건 후보,2026-05-21 00:21:35
KGC,28.62,28.05,42.61,0.8,226716720.0,70,40,기술 조건 후보,2026-05-21 00:19:38
HWC,66.86,63.38,47.78,0.8,56881971.0,70,40,기술 조건 후보,2026-05-21 00:19:57
MKSI,311.51,187.23,63.0,0.79,426622600.0,70,40,기술 조건 후보,2026-05-21 00:21:26
NJR,57.4,49.2,58.12,0.79,33792850.0,70,40,기술 조건 후보,2026-05-21 00:21:48
MYRG,445.73,251.53,60.53,0.78,146984619.0,70,40,기술 조건 후보,2026-05-21 00:21:36
MLPX,76.48,63.61,56.02,0.77,30902881.0,70,40,기술 조건 후보,2026-05-21 00:21:27
KMI,33.59,28.76,59.72,0.74,384856154.0,70,40,기술 조건 후보,2026-05-21 00:18:55
NVT,161.86,111.72,64.1,0.74,390198712.0,70,40,기술 조건 후보,2026-05-21 00:20:02
HSIC,73.23,72.68,45.54,0.73,130395728.0,70,40,기술 조건 후보,2026-05-21 00:19:53
PSA,302.87,282.76,50.4,0.73,287470646.0,70,40,기술 조건 후보,2026-05-21 00:20:29
KALU,168.95,111.36,48.69,0.72,47943203.0,70,40,기술 조건 후보,2026-05-21 00:19:05
HL,17.18,16.87,46.15,0.72,242164848.0,70,40,기술 조건 후보,2026-05-21 00:19:39
ODFL,209.83,168.15,47.88,0.72,444058690.0,70,40,기술 조건 후보,2026-05-21 00:20:05
HELE,23.95,20.31,53.6,0.72,20263172.0,70,40,기술 조건 후보,2026-05-21 00:20:51
MIDD,143.4,140.13,52.65,0.72,98510519.0,70,40,기술 조건 후보,2026-05-21 00:21:23
MSGE,69.58,52.87,60.42,0.72,32485723.0,70,40,기술 조건 후보,2026-05-21 00:21:35
LBTYA,11.87,11.52,55.12,0.71,23945840.0,70,40,기술 조건 후보,2026-05-21 00:19:17
MGY,29.76,25.11,47.98,0.71,69166615.0,70,40,기술 조건 후보,2026-05-21 00:21:23
MRX,54.75,38.7,54.05,0.71,54214044.0,70,40,기술 조건 후보,2026-05-21 00:21:33
LVHI,41.53,37.11,57.25,0.7,29836644.0,70,40,기술 조건 후보,2026-05-21 00:21:12
IWS,156.64,143.89,49.72,0.69,47366628.0,70,40,기술 조건 후보,2026-05-21 00:21:03
PNC,216.83,203.76,40.43,0.68,348248053.0,70,40,기술 조건 후보,2026-05-21 00:18:56
IYR,102.41,96.34,48.82,0.68,539630225.0,70,40,기술 조건 후보,2026-05-21 00:18:57
KBE,63.36,60.28,45.49,0.67,154680231.0,70,40,기술 조건 후보,2026-05-21 00:19:08
IQLT,49.23,45.75,52.53,0.67,69635556.0,70,40,기술 조건 후보,2026-05-21 00:20:20
JD,32.46,29.6,61.84,0.66,339586547.0,70,40,기술 조건 후보,2026-05-21 00:19:04
MFC,38.7,34.43,46.15,0.66,79759815.0,70,40,기술 조건 후보,2026-05-21 00:20:15
LOGI,103.78,102.03,57.56,0.65,126996197.0,70,40,기술 조건 후보,2026-05-21 00:21:04
LEA,133.31,114.64,57.14,0.64,81267967.0,70,40,기술 조건 후보,2026-05-21 00:19:17
HLT,323.87,289.65,49.81,0.63,548206158.0,70,40,기술 조건 후보,2026-05-21 00:19:52
INCY,97.08,95.15,55.58,0.63,139142315.0,70,40,기술 조건 후보,2026-05-21 00:20:12
ICHR,65.76,32.57,49.71,0.63,73824815.0,70,40,기술 조건 후보,2026-05-21 00:20:56
