scan_id,timestamp,symbol,current_price,technical_filter_pass,technical_filter_score,price_above_hma200,hma200_rising,hma_macd_bullish,macd_histogram_rising,sqzmom_green,volume_multiple,rsi,smart_money_score,preset,price_after,return_pct,max_return_pct,min_return_pct,checked_at,holding_minutes,error
20260612_172037,2026-06-12 17:20:39,PRK,177.76,True,5,True,True,True,True,True,0.7399,68.683,20,smoke_test,180.3,1.4289,1.8227,0.6976,2026-06-15 20:29:05,4508,
20260612_172037,2026-06-12 17:20:39,ODV,2.5,False,2,False,False,False,True,True,0.3055,39.2523,0,smoke_test,2.59,3.6,4.4,2.8,2026-06-15 20:29:08,4508,
20260612_172037,2026-06-12 17:20:40,LPG,43.54,True,4,True,True,True,True,False,0.7609,40.3212,40,smoke_test,45.2,3.8126,3.8126,2.3197,2026-06-15 20:29:08,4508,
20260612_172037,2026-06-12 17:20:41,REZI,31.17,False,2,False,False,False,True,True,0.759,59.9631,20,smoke_test,31.68,1.6362,1.8287,0.6737,2026-06-15 20:29:08,4508,
20260612_172037,2026-06-12 17:20:41,JMIA,7.17,True,4,True,False,True,True,True,0.7956,51.1551,20,smoke_test,7.08,-1.2552,-0.3487,-2.3556,2026-06-15 20:29:09,4508,
20260612_172037,2026-06-12 17:20:42,SFLR,38.11,True,4,True,True,False,True,True,0.4343,49.1892,40,smoke_test,38.24,0.3411,0.5904,0.2771,2026-06-15 20:29:09,4508,
20260612_172037,2026-06-12 17:20:43,IFV,27.518,True,3,False,True,False,True,True,0.6288,48.0774,40,smoke_test,27.88,1.3155,1.3155,0.3162,2026-06-15 20:29:09,4508,
20260612_172037,2026-06-12 17:20:43,HII,300.95,True,3,False,False,True,True,True,1.0665,40.0813,20,smoke_test,297.77,-1.0567,-0.4918,-1.3756,2026-06-15 20:29:09,4508,
20260612_172037,2026-06-12 17:20:44,NEM,97.59,False,2,False,False,False,True,True,1.2358,36.0348,0,smoke_test,100.21,2.6847,3.1868,2.2133,2026-06-15 20:29:10,4508,
20260612_172037,2026-06-12 17:20:45,NFG,76.8,False,1,False,False,True,False,False,0.7518,22.9746,0,smoke_test,77.57,1.0026,1.1979,0.5794,2026-06-15 20:29:10,4508,
20260612_172037,2026-06-12 17:20:46,PWR,683.29,False,2,False,True,False,False,True,0.8325,42.0812,40,smoke_test,707.95,3.609,3.909,3.0324,2026-06-15 20:29:10,4508,
20260612_172037,2026-06-12 17:20:46,KMX,51.57,True,4,True,True,False,True,True,1.336,92.65,20,smoke_test,51.25,-0.6205,0.6205,-0.8338,2026-06-15 20:29:10,4508,
